Index_source,emb_index_no,rel,date_of_rel,year_of_rel,candidate_seed_blog,goal_url,goal_url_type,goal_url_creator,goal_url_location,goal_url_lang,goal_url_last_post_date,goal_url_first_post_date,goal_url_num_posts,goal_url_notes,goal_url_topic,This data generated 30 August 2014
http://ethnomblogs.blogspot.com/,32,linksTo,2009-05-20,2009,,http://www.skidmore.edu/%7Egthompso/grtdata/grt-blog.html,,Gordon Thompson,usa,en,2014-08-07,,,"not really a blog (not dynamic), content hosted by a publisher (OUP)",British pop music,
http://ethnomblogs.blogspot.com/,33,linksTo,2009-05-20,2009,,http://rootsofmusic.blogspot.com/,project blog,Matt Sakakeeny,usa,en,2011-01-03,2008-05-22,,,New Orleans music,
http://ethnomblogs.blogspot.com/,34,linksTo,2009-05-20,2009,,http://www.soundscenes.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,35,linksTo,2009-05-20,2009,,http://denisedjsdetroit.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,36,linksTo,2009-05-20,2009,,http://www.kazakhified.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,37,linksTo,2009-05-20,2009,,http://ethnomusicology.wordpress.com/,,,,en,2008-02-12,2008-02-12,1,,,
http://ethnomblogs.blogspot.com/,38,linksTo,2009-05-20,2009,,http://enkerli.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,39,linksTo,2009-05-20,2009,,http://mashupresearch.blogspot.com/,personal blog,Liam McGranahan,usa,en,2008-09-15,2010-04-16,,dissertation blog,mashups,
http://ethnomblogs.blogspot.com/,40,linksTo,2009-05-20,2009,,http://musicalchef.wordpress.com/,personal blog,Lori Goshert,cz,en,2007-01-14,2014-01-29,,"fieldwork in Sarajevo, life in Prague",islam,
http://ethnomblogs.blogspot.com/,41,linksTo,2009-05-20,2009,,http://www.rovingmusicologist.tumblr.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,42,linksTo,2009-05-20,2009,,http://sparkysamazonadventures.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,43,linksTo,2009-05-20,2009,,http://djripley.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,44,linksTo,2009-05-20,2009,,http://www.nahenahe.net/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,45,linksTo,2009-05-20,2009,,http://www.musikethnologie.org/,info blog,Maurice Mengel,de,german,2010-11-14,2012-19-06,,defunct at this url; german-speaking music ethnologists,"cfp, job annonc",
http://ethnomblogs.blogspot.com/,46,linksTo,2009-05-20,2009,,http://www.eveleung.info/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,47,linksTo,2009-05-20,2009,,http://www.tradicionalis.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,48,linksTo,2009-05-20,2009,,http://music000001.blogspot.com/,,Victor Grauer,usa,en,,,,,,
http://ethnomblogs.blogspot.com/,49,linksTo,2009-05-20,2009,,http://afromusicology.tumblr.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,50,linksTo,2009-05-20,2009,,http://jacquesbouet.musicblog.fr/home/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,51,linksTo,2009-05-20,2009,,http://lortajablog.free.fr/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,52,linksTo,2009-05-20,2009,,http://tranquanghai.musicblog.fr/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,53,linksTo,2009-05-20,2009,,http://www.amoramaro.net/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,54,linksTo,2009-05-20,2009,,http://www.simon-bibliothekswissen.de/de/blog.html,,,,,,,,,,
http://ethnomblogs.blogspot.com/,55,linksTo,2009-05-20,2009,,http://anaphoriasouth.blogspot.com/,,,,,,,,,,
